,MetadataField,Metadata
0,NSGL Document #:,CASG-Q-09-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,California Sea Grant Program Directory 2009
3,Author:,"Moll, Russell A. (Director)"
4,Publication Year :,2009
5,Publisher:,University of California Sea Grant College Program
6,# Pages / Video Length:,40
7,Publication Type:,"program reports (annual, progress, planning reports, etc)"
8,Program Report #:,Report No. R-058
9,Grant/Contract #:,NOAA Sea Grant No. NA08OAR4170669
10,Project #:,C/P-1
11,Abstract:,"The research funded is selected on the basis of competitive, peer-reviewed proposals and addresses a wide range of problems and opportunities. This Program Directory provides summaries of the projects funded in 2009 by California Sea Grant."
