,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-73-018
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"REPRODUCTIVE CYCLES IN OREGON POPULATIONS OF THE ECHINOID, ""STRONGYLOCENTR​OTUS PURPURATUS"" (STIMPSON). 2. SEASONAL CHANGES IN OOCYTE GROWTH AND IN ABUNDANCE OF GAMETOGENIC STAGES IN THE OVARY"
3,Author:,"GONOR, JEFFERSON JOHN"
4,Publication Year :,1973
5,Source Citation:,"JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY, 12(01):65-78, JU LY 1973"
6,# Pages / Video Length:,14
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-​R-​73-​018; NOAA-73110509
9,Grant/Contract #:,NOAA SEA GRANT
