,MetadataField,Metadata
0,NSGL Document #:,ORESU-TL-73-029
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,MARINE ECONOMICS DATA - 26-FOOT FLORIDA MULLET VESSEL
3,Publication Year :,1973
4,Publisher:,Oregon State University Sea Grant Marine Advisory Program
5,# Pages / Video Length:,2
6,Publication Type:,technical reports/surveys​/patents
7,Program Report #:,ORESU-​TL-​73-​029; OSU MEDS 47
8,Grant/Contract #:,NOAA Sea Grant
9,Notes:,SEE RIU-TL-72-002 FOR EARLIER EDITION
