,MetadataField,Metadata
0,NSGL Document #:,WASHU-V-20-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Pumpout 1 V 2 (Pumpout Washington video)
3,Author:,"Wagner, MaryAnn"
4,Publication Year :,2020
5,Publisher:,"Published on YouTube February 18, 2020"
6,# Pages / Video Length:,0:28 seconds
7,Publication Type:,videos
8,Program Report #:,WSG-MR 19-39
9,Project #:,A/ACE-1
10,URL:,https://www.you​tube.com/watch?​v=fSn87OmY0Zg
11,Abstract:,Pumpout Washington - A program with Washington State Parks and Washington Sea Grant
